id;perguntas;id_respostas
0;Você prefere filmes de ficção cientifica?;0
1;Filmes sobre mundos futuros e cenários alternativos te agradam?;0
2;Gosta de filmes imaginativos relacionados ao futuro ciência e tecnologia e seus impactos e/ou consequências em uma determinada sociedade ou em seus indivíduos?;0
3;O que voce acha de filmes relacionados a imaginação e mundos alternativos? ;0
4;Você gosta de filmes que falam sobre uma pessoa?;1
5;Você prefere filmes de biografias?;1
6;Voce gosta de filmes que contam a história da vida de uma pessoa?;1
7;Filmes baseados em fatos reais te agradam?;1
8;Você prefere filmes de musicais?;2
9;Gosta de filmes com dança?;2
10;Filmes com musicais te agradam?;2
11;Você acha legal filmes com pessoas dançando e/ou cantando em algumas cenas?;2
12;Você prefere filmes de suspense?;3
13;Gosta de filmes que causam agitação e suspense?;3
14;Filmes que criam expectativa ou ansiedade relativamente ao que vai acontecer te agradam?;3
15;Gosta de filmes que fazem pausas para causar impacto nas próximas cenas?;3
16;Você prefere filmes de romance?;4
17;Gosta de filmes romanticos?;4
18;Filmes com poemas e casais te agradam?;4
19;Gosta de filmes que trazem reflexão para sua vida amorosa?;4
20;Gosta de filmes com finais felizes?;4
21;É de seu interesse filmes com assasinato?;5
22;Gosta de filmes que contém pessoas mortas?;5
23;Gosta de filmes com cenas fortes com sague e pessoas mortas?;5
24;Filmes onde os criminosos são psicopatas torna o filme mais interessante?;5
25;Gosta de filmes com animação?;6
26;Filmes com desenhos graficos te agradam?;6
27;Voce prefere filmes com desenhos animados?;6
28;Você gosta de filmes com desenhos animados?;6
29;Voce gosta de elementos criados que geram a imaginação nos filmes?;7
30;Filmes de fantasia te agradam?;7
31;Folclores e historias culturais são filmes de sua preferencia?;7
32;Você gosta de fIlmes que dispertam a imaginação?;7
33;Você é casado?;8
34;Voce tem filhos?;8
35;Gosta de assistir filmes em familia?;8
36;Filmes para assistir com a familia te agradam?;8
37;Eventos inesperados é algo que não pode faltar nos seus filmes?;9
38;Você gosta de algo ousado repleto de risco e de perigo?;9
39;Gosta de filmes de aventura?;9
40;Sucessão de acontecimentos imprevisíveis que dependem da sorte do destino acaso e sorte não podem faltar nos seus filmes?;9
41;Gosta de filmes de ação?;10
42;Histórias de protagonistas do bem contra antagonistas do mal que resolvem suas disputas com o uso de força física te agradam?;10
43;Filmes que são pessoas do bem contra o mal não podem faltar?;10
44;Você gosta de filmes com muita luta e cenas de efeito?;10
45;Filmes com situações comoventes que envolvem sofrimento ou aflição são de sua preferencia?;11
46;Voce gosta de filmes com catástrofes desastres fatalidades e tragédia?;11
47;Gosta de filmes que contam histórias aflitivas?;11
48;Você gosta de filmes tristes que trazem reflexões?;11
49;Voce quer assistir um filme divertido?;12
50;Filmes que são engraçados te agradam?;12
51;Voce quer dar risada assistindo o filme?;12
52;Você gosta de filmes que te fazer rir muito?;12
